Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Channel Islands,CHI,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,6000000,8000000,14000000,16000000,21000000,29000000,39000000,33000000,32000000,26000000,23000000,25800000,29700000,36200000,39900000,37100000,33900000,39200000,43600000,46800000,50000000,116800000,140000000,222800000,324200000,297470000,268598924,250600000,257124131.2,307300000,347500000,383708785.1,447500000,538619514.5,596536869.5,726289314.4,773559649.6,1002083262,1355531918,1548577802,1557776179,1613695026,1669939577,
China,CHN,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543000000,420000000,792000000,1280970000,1938000000,3114004041,3548126752,4496604796,5321253863,6634081020,8192067402,10319466356,11065271082,13039546459,14706108691,17748983437,21033078371,22613800782,22022366055,23979580208,28660620255,
Cote d'Ivoire,CIV,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10315314.91,9556501.277,21968975.07,21161207.65,20349997.48,17428630.09,18426837.06,17201730.1,3890008.611,2890284.753,2563194.289,2711598.39,3083450.961,
Cameroon,CMR,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,1617067.437,,1275817.601,31347.14682,257102.6556,389923.0985,453357.4507,1695139.241,306193.3758,1001706.054,918771.9033,2552815.122,216627.8762,3258572.078,4596220.573,1963607.622,570023.9946,1710253.722,1930776.699,8212818.269,5226719.63,5702460.716,16111914.52,7992608.159,11597549.96,10865370.17,7361019.103,7841469.732,7989240.57,7016659.829,905589.0408,4251705.32,
"Congo, Dem. Rep.",COD,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100000,1900000,1900000,2600000,34300000,,,,20300000,10736427.23,,,,
"Congo, Rep.",COG,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3762174.134,,
Colombia,COL,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,8000000,7000000,10000000,1002980,6514260,8344910,8418480,4856600,8081640,7005120,5008000,,11000000,11000000,11000000,12000000,10000000,7000000,7000000,10000000,10000000,12000000,13000000,19000000,17400000,18600000,19568950,28944760,60648380,60221550,61699170,69127270,73802760,77225080,86300600,75542410,82270270,118088950,126779460,187900030,263035815.4,298569416,362407787.4,424664387.4,526909688.7,560551643.3,525973319.7,471320169,438586639.1,428532078.7,
Comoros,COM,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,CPV,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,113544.3192,401844.5474,116141.1177,49244.60612,120660.2759,41311.70498,104384.7731,212616.231,59713.64316,94986.12075,26273.90077,79740.99381,335135.3747,196520.8081,,136219.3056,193783.6866,47776.39577,256892.6938,68001.46525,2245.900895,1289652.377,34422.24736,,343346.4352,,73921.97125,110127.257,4795783.85,8051787.06,2401054.945,5850403.697,
Costa Rica,CRI,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,4200000,4500000,5700000,4300000,4100000,2900000,3600000,9100000,9600000,7900000,8600000,7600000,10000000,9100000,11000000,9200000,5500000,11000000,13400000,23570000,27190000,31970000,30796000,49833730,49021813.48,51154010,63871136,51358969,56875640,87482020,52944749.88,86390876.1,119400565.1,158855730.1,214778112,310560930.4,374402372.6,454698564.8,495827687.8,503368674.6,538240000,
Caribbean small states,CSS,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,1705228.178,8111670.619,8741666.668,10975000,15225000,11591666.67,16208333.34,21675000,20191666.67,22050000,25567346.94,22525925.93,33094444.44,24003252.03,27555664.49,21694880.17,25548148.15,24811437.91,19530512.04,31576303.55,41543699.74,65584932.11,62887466.41,77773071.32,95346834.2,96575751.57,87461323.85,96757441.29,73326422.74,72531998.93,72339941.43,92923746.62,139839303.9,137077847.6,136343459.4,112453966.3,189311816.6,207112528.9,243934023.1,209307320.7,212414450.5,195717661.9,165148431.7,
